"Identifiant station","Nom de la Station","Nom de la ligne","Niveau de pollution aux particules","Niveau de pollution","Incertitude","Recommandation de surveillance","Action(s) QAI en cours","Lien vers les mesures en direct","Durée des mesures","stop_lon","stop_lat","point_geo","pollution_air","niveau","actions","niveau_pollution"
"IDFM:22043","Rue du Bac","Métro 12","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32567275849852,48.8558755320021,"48.85587553200213, 2.3256727584985164","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463301","Saint-Denis - Porte de Paris","Métro 13","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3561729251016,48.9299227504458,"48.929922750445755, 2.3561729251015997","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22044","Saint-Georges","Métro 12","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.33757064037967,48.8784165949017,"48.87841659490173, 2.3375706403796697","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:462993","Saint-Germain-des-Prés","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.33398742913423,48.8536737134332,"48.85367371343323, 2.3339874291342255","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463306","Saint-Michel","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34399179903329,48.8535940775681,"48.85359407756809, 2.343991799033288","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:462992","Saint-Sulpice","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.33095355065045,48.8511385895792,"48.85113858957915, 2.330953550650454","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:21976","Sèvres - Babylone","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32610468992557,48.850931505988,"48.85093150598804, 2.326104689925573","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463009","Stalingrad","Métro 2","station aérienne","station aérienne",NA,"non","Action(s) d'amélioration de la qualité de l'air en cours","https://www.airparif.fr/",NA,2.36577437055817,48.8843205488699,"48.88432054886986, 2.3657743705581695","station aérienne","Station aérienne","Action(s) d'amélioration de la qualité de l'air en cours","station aérienne"
"IDFM:22001","Stalingrad","Métro 5","pollution moyenne","MOYENNE","Évaluation : campagne de mesure ponctuelle","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,"campagne de mesure ponctuelle",2.36734812127719,48.8841445128949,"48.8841445128949, 2.367348121277192","pollution moyenne - incertitude faible","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:22369","Sully - Morland","Métro 7","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.36175173812632,48.8512079125435,"48.85120791254347, 2.3617517381263218","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:21917","Trocadéro","Métro 9","pollution élevée","ELEVE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.28683987979629,48.863088061116,"48.863088061116, 2.28683987979629","pollution élevée - incertitude forte","Pollution élevée","Action(s) d'amélioration de la qualité de l'air en cours","pollution élevée"
"IDFM:462959","Vaneau","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32135124235474,48.8488945700589,"48.84889457005888, 2.3213512423547358","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463320","Varenne","Métro 13","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.31497764703634,48.8566242026469,"48.85662420264694, 2.3149776470363417","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
